,Year,Month,Delhi,Hyderabad,Mumbai,Bangalore,Kolkata,Chennai,Pune,Kanpur,Surat,Ahmedabad,Mean,Median
22,2015,11,0.1045701823507058,0.1183667487126983,0.2769669294409418,,0.1484961816425892,,0.130497222754388,0.1041554426813831,0.116696025872842,0.0961592208718965,0.13698849429093057,0.1183667487126983
23,2015,12,,0.1282068895019096,,0.1159991589946482,0.101971438817262,0.1766643403520094,0.115361134122952,0.1224565688871494,0.1383056601649285,0.1049332541501104,0.1254873056238712,0.1224565688871494
24,2016,1,,,0.2784230785253204,0.11919950927367,0.111495852404503,0.2093463231820175,0.1452422757708397,,0.1131024198142143,0.1097422503274673,0.15522167275686174,0.13222089252225486
25,2016,2,0.1362582011962274,0.1195166919925233,0.2769659421092563,,,0.2210945647128925,0.1858123173770787,0.1683451029179996,0.1399622005007062,0.1592195970306012,0.17589682722966063,0.1683451029179996
26,2016,3,0.3292395571043122,0.1749850008917466,0.2957436683912111,,,,0.1501350166297761,0.151398118895134,0.1654888553848041,0.1139168720742441,0.1972724413387469,0.17023692813827535
27,2016,4,,0.1428902578585096,0.3166248471567039,0.1174071439142856,0.1302193908281818,0.3257724419208943,0.1634446576122913,0.0854493021595423,0.1599824021315413,0.1169415041650452,0.17319243863855502,0.15143632999502543
28,2016,5,0.1655357188193412,0.1451004030769125,0.3950079967068005,0.1067112875211952,0.1422651483661335,0.5480210465655138,0.3867070981550223,0.0803208730173273,0.1784598750741423,0.0981789291233922,0.22463083764257807,0.1655357188193412
33,2016,10,0.0895644585470447,0.2085021787828778,0.2673894351163994,,0.1487285964324871,0.1937807134326273,0.1514536179952962,0.111442420456805,0.2194824288584891,0.1404017540217108,0.17008284484930417,0.16076823142230018
34,2016,11,0.0923711259670769,0.107304707196358,0.294274708860152,,0.1191458365359906,0.2753383056814174,0.145479112256447,0.0977102002928257,0.1114985130962003,0.0845884839654505,0.14752344376132426,0.11532217481609545
35,2016,12,0.1096060923766454,0.1336800582274143,0.2732845973712066,,0.1898758769830802,0.4835648939456257,0.1461234222999958,0.0688381458445086,0.1023769681904851,0.0928997901164885,0.17780553837282778,0.13990174026370505
36,2017,1,0.1151044177241303,0.1287013474545417,0.2699466453905308,0.1700705863004451,0.1260034323861723,,0.1612937062513856,,0.1156573745076525,0.1146639079793539,0.15018017724927654,0.1287013474545417
37,2017,2,,0.126694211738265,0.3106925664376913,,0.1422786989039665,,0.1474605982577835,0.136952991418137,0.1108463973762521,0.1313321421963359,0.1580368009040616,0.13961584516105174
38,2017,3,0.1079626428016449,0.1500283896621621,0.3132368516079395,0.1879627160577286,0.1789280416023982,0.3507438525467216,0.1465068370142011,0.1597858882945123,0.1449871572879869,0.1155139988367786,0.18556563757120736,0.1597858882945123
39,2017,4,0.0923635388322486,0.1183044250137509,0.2784938099665871,0.1154009405524521,0.1407481747757269,0.2620914813325916,0.2200766816982079,0.106640118822551,0.1879284781500913,0.1201779283163037,0.16422255774605113,0.1407481747757269
40,2017,5,0.0927941812835012,0.1303932341881781,0.2844669030350538,0.1438077958190567,0.1649660415293359,,0.1348641392011602,0.0854159335516416,0.1802837951545951,0.1213005218562293,0.14869917173541689,0.13933596751010846
45,2017,10,0.080165466396959,,0.284938460997491,,0.1193270818042604,1.6418812096067466,,0.1111515797282934,0.2229332837998482,0.1173886330965929,0.36825510220431307,0.1711301828020543
46,2017,11,0.1037086547897509,0.1046145209703322,,,0.126831686204085,0.2440520696829243,0.1357300339668077,0.0888184480674301,0.1062811528083011,0.089185871073595,0.12490280469540328,0.1062811528083011
47,2017,12,0.1158785840395696,0.1201225917713264,0.2304096973286917,0.1354266422841154,0.1157236050479038,,0.1322806008225746,,0.1150706976534009,0.1198677315271914,0.13559751880934673,0.1201225917713264
48,2018,1,,0.1164340992294644,0.2463259231848715,0.1276805475819189,0.1490197301654286,,0.1487328274374942,0.1659530069409761,0.1058127164077941,0.1156499335192905,0.14695109805840476,0.14695109805840476
49,2018,2,0.200328977601427,0.153830736292997,0.2900749877434739,0.1176124390422032,0.1437333737648311,,0.1596397309480265,,0.1242044456392745,0.1331255955336528,0.16531878582073575,0.153830736292997
